Date,???,Ri_2317
2025/3/3,170,-0.022988506
2025/3/4,170.5,0.002941176
2025/3/5,173.5,0.017595308
2025/3/6,173.5,0
2025/3/7,172,-0.008645533
2025/3/10,172,0
2025/3/11,168.5,-0.020348837
2025/3/12,170.5,0.011869436
2025/3/13,168,-0.014662757
2025/3/14,170,0.011904762
2025/3/17,168,-0.011764706
2025/3/18,167.5,-0.00297619
2025/3/19,164,-0.020895522
2025/3/20,166,0.012195122
2025/3/21,165,-0.006024096
2025/3/24,163,-0.012121212
2025/3/25,165,0.012269939
2025/3/26,166,0.006060606
2025/3/27,160.5,-0.03313253
2025/3/28,154,-0.040498442
2025/3/31,146,-0.051948052
2025/4/1,152,0.04109589
2025/4/2,153.5,0.009868421
2025/4/7,138.5,-0.09771987
2025/4/8,125,-0.097472924
