Date,MKT,SMB,HML,Rf
2025/3/3,-1.3133,-0.0762,0.5673,1.7
2025/3/4,-0.6332,0.8806,0.2647,1.7
2025/3/5,1.2311,-0.433,-0.5283,1.7
2025/3/6,-0.6039,0.1445,0.223,1.7
2025/3/7,-0.6497,-0.1291,-0.0579,1.7
2025/3/10,-0.5266,0.0968,0.5159,1.7
2025/3/11,-1.7011,0.3842,0.605,1.7
2025/3/12,0.8855,-0.2402,-0.3865,1.7
2025/3/13,-1.3979,0.1077,0.4074,1.7
2025/3/14,0.041,0.1865,0.6487,1.7
2025/3/17,0.6495,-0.2243,-0.1658,1.7
2025/3/18,0.8678,0.0478,-0.3738,1.7
2025/3/19,-1.3845,0.7366,0.4399,1.7
2025/3/20,1.8828,-0.4563,-0.9241,1.7
2025/3/21,-0.7303,0.4075,-0.0113,1.7
2025/3/24,-0.5036,0.0956,0.4186,1.7
2025/3/25,0.7053,-0.4745,-1.003,1.7
2025/3/26,-0.0376,0.0529,0.3408,1.7
2025/3/27,-1.3553,0.2167,0.5088,1.7
2025/3/28,-1.6414,-0.2584,-0.3523,1.7
2025/3/31,-4.2699,-0.3271,0.702,1.7
2025/4/1,2.8181,-0.6,-0.6591,1.7
2025/4/2,0.1124,0.2256,0.369,1.7
2025/4/7,-9.6936,-0.0682,0.0018,1.7
2025/4/8,-4.2207,-2.7319,0.1985,1.7
