Date,MKT,SMB,HML
2025/2/14,-0.9938,0.4337,1.2209
2025/2/17,1.5055,-0.676,-0.318
2025/2/18,0.7505,-0.1389,-0.4405
2025/2/19,-0.2362,0.6349,0.598
2025/2/20,-0.4348,0.186,0.1799
2025/2/21,1.0101,-0.2283,-0.17
2025/2/24,-0.6361,0.4165,1.0597
2025/2/25,-1.144,0.4176,0.5324
2025/2/26,0.4554,-0.0624,-0.2697
2025/2/27,-1.455,0.6288,0.2046
2025/3/3,-1.3133,0.2543,0.1522
2025/3/4,-0.6332,0.7125,0.4693
2025/3/5,1.2311,-0.6063,-0.3068
2025/3/6,-0.6039,0.2878,0.0241
2025/3/7,-0.6497,-0.2177,0.1092
2025/3/10,-0.5266,0.1365,0.5194
2025/3/11,-1.7011,0.4157,0.5827
2025/3/12,0.8855,-0.2259,-0.362
2025/3/13,-1.3979,0.3149,0.2751
2025/3/14,0.041,0.0065,0.878
,,,
